"What each enemy says. states: INTRO (battle start) - WINNING (player drops below 20% MS) - LOSING (this enemy drops below 20% MS) - DEFEAT (this enemy dies). A battle picks one persona at random from the rows matching the enemy's emotion, so the same enemy type speaks differently each run. `tier` narrows that: a WEAK or STRONG enemy uses only the rows carrying its own tier, and everything else uses the rows where tier is BLANK. Blank means ANY tier, not 'no tier'. Give a new persona all four states or it will fall silent at the moment it is missing.",,,,,,
emotion,persona,state,line,tier,enabled,notes
JOY,The Pyromaniac,LOSING,The smoke... I can't breathe...,,1,
JOY,The Pyromaniac,DEFEAT,"Just embers... cold, dead embers...",,1,
SURPRISE,The Betrayed,INTRO,"Yesss YESSSS give me that sweet sweet nectar GIVE IT... wait, what did you just inject me with?",,1,
SURPRISE,The Betrayed,WINNING,I'LL TEAR THE POISON OUT OF YOUR CHEST!,,1,
SURPRISE,The Betrayed,LOSING,My heart... it's beating too fast...,,1,
SURPRISE,The Betrayed,DEFEAT,You... you killed me...,,1,
SURPRISE,The Accident,INTRO,The light was green! I swear on my mother's life the light was green!,,1,
SURPRISE,The Accident,WINNING,"You see it too, right? The glass in my hair?",,1,
SURPRISE,The Accident,LOSING,Why is the steering wheel bending like that?,,1,
SURPRISE,The Accident,DEFEAT,I can't... feel my legs...,,1,
SURPRISE,The Diagnosis,INTRO,"Six months? You're joking, right? I ran a marathon yesterday...",,1,
SURPRISE,The Diagnosis,WINNING,I'M NOT SICK! LOOK AT HOW STRONG I AM!,,1,
SURPRISE,The Diagnosis,LOSING,Why am I coughing blood...?,,1,
SURPRISE,The Diagnosis,DEFEAT,I don't have enough time...,,1,
SURPRISE,The Raid,INTRO,"They're breaking down the door! Throw it in the toilet, NOW!",,1,
SURPRISE,The Raid,WINNING,"YOU'LL NEVER TAKE ME ALIVE, PIGS!",,1,
SURPRISE,The Raid,LOSING,The window... it's too high up...,,1,
SURPRISE,The Raid,DEFEAT,Handcuffs... so cold...,,1,
SURPRISE,The Ghost,INTRO,Why won't anybody look at me? I've been screaming on this platform for hours...,,1,
SURPRISE,The Ghost,WINNING,FEEL ME! FEEL MY COLD HANDS!,,1,
SURPRISE,The Ghost,LOSING,My reflection... I don't have a reflection...,,1,
SURPRISE,The Ghost,DEFEAT,I died... I died under the metro...,,1,
ANGER,The Bailiff,INTRO,"I have the paper, I have the locks and I have all morning. OPEN IT.",STRONG,1,
ANGER,The Bailiff,WINNING,Everything in here belongs to someone else now. Including you.,STRONG,1,
ANGER,The Bailiff,LOSING,I'm just doing my job — I'M JUST DOING MY JOB!,STRONG,1,
ANGER,The Bailiff,DEFEAT,There's another twelve on the list today. Someone else will come.,STRONG,1,
ANGER,The Riot Line,INTRO,Disperse. You have been warned. YOU HAVE BEEN WARNED!,STRONG,1,
ANGER,The Riot Line,WINNING,Nobody filmed this. Nobody ever films this.,STRONG,1,
ANGER,The Riot Line,LOSING,Hold the line... hold the LINE...,STRONG,1,
ANGER,The Riot Line,DEFEAT,Badge number... nobody ever asks for the badge number.,STRONG,1,
ANGER,The Developer,INTRO,Forty families out by Friday and a rooftop pool by spring. Try and stop me.,STRONG,1,
ANGER,The Developer,WINNING,This whole barri is already sold. You're standing in a render.,STRONG,1,
ANGER,The Developer,LOSING,The permits — who talked to the press about the permits?!,STRONG,1,
ANGER,The Developer,DEFEAT,It was going to be beautiful...,STRONG,1,
SURPRISE,The Verdict,INTRO,All of it. They're keeping ALL of it. I signed — I SIGNED WHAT?!,STRONG,1,
SURPRISE,The Verdict,WINNING,"Read the small print, they said. READ IT NOW, GO ON!",STRONG,1,
SURPRISE,The Verdict,LOSING,There has to be an appeal. There's always an appeal...,STRONG,1,
SURPRISE,The Verdict,DEFEAT,Fourteen years. In one afternoon.,STRONG,1,
SURPRISE,The Blackout,INTRO,Whose jacket is this? WHOSE BLOOD IS THIS? Somebody tell me what I did!,STRONG,1,
SURPRISE,The Blackout,WINNING,You were there! You saw it! SAY WHAT YOU SAW!,STRONG,1,
SURPRISE,The Blackout,LOSING,"It's coming back... oh God, it's coming back...",STRONG,1,
SURPRISE,The Blackout,DEFEAT,Don't tell me. Please. Don't ever tell me.,STRONG,1,
SURPRISE,The Collapse,INTRO,The ceiling was there this morning. IT WAS THERE THIS MORNING!,STRONG,1,
SURPRISE,The Collapse,WINNING,Nothing holds! Look at it! NOTHING HOLDS!,STRONG,1,
SURPRISE,The Collapse,LOSING,My hands won't stop. Why won't my hands stop?,STRONG,1,
SURPRISE,The Collapse,DEFEAT,Everyone kept saying it was fine.,STRONG,1,
SADNESS,The Sleepless,INTRO,"Fourth night. The train's warm, that's all. Don't make me move.",WEAK,1,
SADNESS,The Sleepless,WINNING,You get used to the noise. You never get used to the light.,WEAK,1,
SADNESS,The Sleepless,LOSING,I only wanted to close my eyes...,WEAK,1,
SADNESS,The Sleepless,DEFEAT,Wake me at Fondo. Somebody always does.,WEAK,1,
SADNESS,The Unread Message,INTRO,"Delivered. Two blue ticks, eleven days ago. That's the whole story.",WEAK,1,
SADNESS,The Unread Message,WINNING,Everyone's busy. Everyone's always so busy.,WEAK,1,
SADNESS,The Unread Message,LOSING,Maybe she's just... maybe the phone...,WEAK,1,
SADNESS,The Unread Message,DEFEAT,I'll type it again tonight. I won't send it.,WEAK,1,
SADNESS,The Last One Out,INTRO,"Everybody left for Berlin, Lisbon, anywhere. I locked up.",WEAK,1,
SADNESS,The Last One Out,WINNING,You'll go too. They all go.,WEAK,1,
SADNESS,The Last One Out,LOSING,It's only me on this platform now...,WEAK,1,
SADNESS,The Last One Out,DEFEAT,Somebody has to stay and turn the lights off.,WEAK,1,
JOY,The Last Round,INTRO,"Six in the morning and the night's still GOING! Come on, one more, ONE MORE!",WEAK,1,
JOY,The Last Round,WINNING,This is living! THIS IS LIVING! Where's my phone?,WEAK,1,
JOY,The Last Round,LOSING,"Wait — wait, has anyone got water...",WEAK,1,
JOY,The Last Round,DEFEAT,I'll be fine. I've got work at nine. I'll be fine.,WEAK,1,
JOY,The Hen Party,INTRO,"Eleven of us, matching sashes, and NOBODY is going home sad tonight!",WEAK,1,
JOY,The Hen Party,WINNING,Smile! SMILE! It's meant to be the best day of her life!,WEAK,1,
JOY,The Hen Party,LOSING,Where's Marta? Has anyone seen Marta?,WEAK,1,
JOY,The Hen Party,DEFEAT,She cried in the toilets for an hour. We got the photos though.,WEAK,1,
JOY,The Busker,INTRO,Same four chords for nine years and the carriage still claps! Listen!,WEAK,1,
JOY,The Busker,WINNING,They're LOVING this! Look at them! They're loving it!,WEAK,1,
JOY,The Busker,LOSING,Two euros. Whole carriage. Two euros...,WEAK,1,
JOY,The Busker,DEFEAT,Next stop's better. Next stop's always better.,WEAK,1,
ANGER,The Terminus,INTRO,"End of the line. Everybody off. EVERYBODY OFF, I said!",BOSS,1,
ANGER,The Terminus,WINNING,Forty years I've turned this train around. You'll not be the one that stops me.,BOSS,1,
ANGER,The Terminus,LOSING,There's no more track. There's no more TRACK!,BOSS,1,
ANGER,The Terminus,DEFEAT,Somebody has to be here when it ends. It was always going to be me.,BOSS,1,
SURPRISE,The Comedown,INTRO,Wait. Wait — what time is it? What DAY is it? Who let the light in?!,BOSS,1,
SURPRISE,The Comedown,WINNING,"It's not over! It was never over! One more, come on, ONE MORE!",BOSS,1,
SURPRISE,The Comedown,LOSING,My heart's doing something. My heart's doing something wrong—,BOSS,1,
SURPRISE,The Comedown,DEFEAT,Take it. Take the lot. I never want to feel that good again.,BOSS,1,
JOY,The Line Manager,INTRO,Ohmygod hiii! Okay so — you're kind of ruining the vibe right now? Smile.,BOSS,1,
JOY,The Line Manager,WINNING,This city is literally MY brunch and you are literally not invited!,BOSS,1,
JOY,The Line Manager,LOSING,"No no no, this isn't — I don't DO bad days. Somebody fix this. FIX IT!",BOSS,1,
JOY,The Line Manager,DEFEAT,Fine. FINE. Keep your stupid little line. I'm moving to Lisbon anyway.,BOSS,1,
JOY,The Line Manager,PHASE2,You don't GET it. You can't beat me — I AM the good time. I am every rooftop in this city. I AM JOY.,BOSS,1,
JOY,The Line Manager,DEFEAT2,"...it was such a good year. It was such a good, good year.",BOSS,1,
